,name,rating,price,Total Reviews
153,Avita ADMIROR Intel Core i5 10210U 14 Inch FHD IPS Display Blazing Brown Laptop,4,"89,990",2.0
154,Avita ADMIROR Intel Core i5 10210U 14 Inch FHD IPS Display Delight Pink Laptop,5,"89,990",1.0
155,Avita ADMIROR Intel Core i5 10210U 14 Inch FHD IPS Display Flaming Copper Laptop,5,"89,990",1.0
156,Gigabyte AORUS 5 MB Intel Core i5 10200H 15.6 Inch FHD Display Free DOS Matte Black Gaming Laptop,5,"90,000",1.0
157,Avita LIBER V Intel Core i7 10510U 14 Inch FHD Display Champagne Gold Laptop,5,"90,990",1.0
158,Avita LIBER V Intel Core i7 10510U 14 Inch FHD Display Pearl White Laptop,5,"90,990",1.0
159,Asus ZenBook 14 UX425EA Intel Core i5 1135G7 14 Inch FHD Display Pine Grey Laptop #KI355T-UX425EA,5,"91,000",2.0
160,MSI Modern 14 B11SB 11th Gen Intel Core i5 1135G7 14 Inch FHD IPS Display Carbon Gray Laptop,5,"91,000",1.0
161,Acer Swift 3 SF313-53-579S Intel Core i5 1135G7 13.5 Inch QHD IPS Display Sparkly Silver Laptop,5,"92,000",2.0
162,Dell Inspiron 15-5502 Intel Core i7 1165G7 15.6 Inch FHD Display River Rock Laptop #MOCKINGN515TGL21054111-2Y,0,"93,000",
163,Huawei MateBook 13 Intel Core i5 10210U 13 Inch 2K IPS Touch Display Space Gray Laptop #WRTB-WFH9L,5,"98,000",1.0
164,Lenovo Legion 5 15ARH05 AMD Ryzen 5 4600H 8GB DDR4 15.6 Inch FHD IPS Anti-Glare Display Phantom Black Laptop #82B500LMIN-2Y,5,"98,000",1.0
165,Asus Zenbook Flip 13 UX363JA Intel Core i5 1035G1 13.3 Inch FHD Touch Display Pine Grey Laptop,5,"99,000",2.0
166,Asus VivoBook S14 S433EQ Intel Core i7 1165G7 14 Inch FHD LED Display Indie Black Laptop #AM231T-S433EQ,5,"99,000",1.0
167,Asus VivoBook S14 S433EQ Intel Core i7 1165G7 14 Inch FHD LED Display Gaia Green Laptop #AM230T-S433EQ,0,"99,000",
168,MSI Prestige 14 EVO A11M Intel Core i5 1135G7 14 Inch FHD Display Carbon Grey Laptop,0,"102,000",
169,Acer Swift 3X SF314-510G-568Z Intel Core i5 1135G7 14 Inch FHD Display Safari Gold Laptop,5,"102,000",2.0
170,Asus ZenBook 14 UX425EA 11th Gen Intel Core i7 1165G7 14 Inch FHD Display Pine Grey Laptop #KI416T-UX425EA,5,"102,500",1.0
171,MSI Summit B14 A11MOT Intel Core i5 1135G7 14 Inch FHD Touch Display Ink Black Laptop,5,"103,800",1.0
172,MSI Modern 14 B11SB 11th Gen Intel Core i7 1165G7 14 Inch FHD IPS Display Carbon Gray Laptop,5,"104,500",2.0
173,Dell Inspiron 15-7591 Intel Core i7 9750H 15.6 Inch FHD Display Silver Laptop,5,"106,000",2.0
174,Asus Zenbook Flip 13 UX363EA Intel Core i5 1135G7 13.3 Inch FHD Touch Display Pine Grey Laptop,5,"106,000",2.0
175,Microsoft Surface Laptop 3 Intel Core i5 1035G7 13.5 Inch Multi Touch Display Platinum Surface,5,"106,000",2.0
176,MSI Modern 14 B11SB 11th Gen Intel Core i7 1165G7 1TB SSD 14 Inch FHD IPS display Carbon Gray Laptop,5,"106,000",1.0
177,Apple MacBook Air Late 2020 Apple M1 Chip 13.3 Inch Retina Display Touch ID Gold MacBook #MGND3LL/A / MGND3ZP/A,5,"108,000",2.0
178,Microsoft Surface Pro 7 Intel Core i5 1035G4 12.3 Inch Touch Display Platinum Laptop,5,"109,000",1.0
179,Microsoft Surface Pro 7 Intel Core i5 1035G4 12.3 Inch PixelSense MultiTouch Display Black 2-in-1 Laptop,5,"109,000",1.0
180,Acer Nitro 5 AN515 56 57YB Intel Core i5 11300H 15.6 Inch FHD Display Shale Black Gaming Laptop,0,"109,000",
181,Dell Latitude 14-7410 Intel Core i5 10210U 14 Inch FHD Display Urban Grey Laptop,5,"111,000",1.0
182,Asus ZenBook 13 UX325JA Intel Core i7 1065G7 13.3 Inch FHD LED Display Pine Grey Laptop,5,"112,000",2.0
183,Lenovo Legion 5 15IMH05H 10th Gen Intel Core i5 10300H 15.6 Inch FHD IPS Anti-Glare Display Phantom Black Laptop,5,"112,000",1.0
184,MSI Katana GF66 11UC 11th Gen Intel Core i5 11400H 15.6 Inch FHD Display Black Gaming Laptop,5,"113,500",1.0
185,Asus ZenBook 14 Ultralight UX435EAL Intel Core i5 1135G7 14 Inch FHD Display Pine Grey Laptop,5,"114,000",2.0
186,Asus ZenBook 14 Ultralight UX435EA Intel Core i7 1165G7 14 Inch FHD Display Pine Grey Laptop #K9088T-UX435EA,0,"115,000",
187,Acer Swift 3X SF314-510G-74RJ Intel Core i7 1165G7 14 Inch FHD IPS Display Safari Gold Laptop,5,"116,000",2.0
188,Acer Nitro 7 AN715-51 Intel core i5 9300H 15.6 Inch FHD IPS Display Black Gaming Laptop #NH.Q5HSI.005,5,"116,800",2.0
189,Asus ROG Strix G15 G513IE AMD Ryzen 7 4800H 15.6 Inch FHD Display Eclipse Gray Gaming Laptop #HN037T-G513IE,0,"117,000",
190,Acer Predator PH315-53 Intel Core i5 10300H 15.6 Inch FHD Display Abyssal Black Gaming Laptop,5,"118,000",1.0
191,Asus ZenBook 13 UX325EA Intel Core i7 1165G7 13.3 Inch FHD OLED Display Pine Grey Laptop #KG255T-UX325EA,5,"118,000",1.0
192,Microsoft Surface Laptop 3 Intel Core i5 1035G7 13.5 Inch Multi Touch Display Matte Black Surface Laptop,5,"119,500",1.0
193,Microsoft Surface Laptop 3 Intel Core i5 1035G7 13.5 Inch Multi Touch Display Cobalt Blue Surface Laptop,5,"119,500",2.0
194,Microsoft Surface Laptop 3 Intel Core i5 1035G7 13.5 Inch Multi Touch Display Black Surface Laptop,5,"119,500",1.0
195,Microsoft Surface Laptop 3 Intel Core i5 1035G7 13.5 Inch Multi Touch Display Sandstone Surface Laptop,5,"121,000",1.0
196,HP Pavilion Gaming 15-ec1104AX AMD Ryzen 7 4800H 15.6 Inch FHD Display Shadow Black Laptop #2P2V2PA-2Y,0,"121,000",
197,Apple MacBook Air 2020 Intel Core i5 13.3 Inch Retina Display Space Gray MacBook #MVH22LL/A / MVH22ZP/A,0,"122,000",
